GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0051052	regulation of DNA metabolic process	13	891	1.46%	96	6438	1.49%	CDC13, CDC16, EST3, HSP82, PIF1, PSY2, PXR1, RAD28, RAD54, RCO1, RRM3, SPT5, STN1
GO:0007033	vacuole organization	13	891	1.46%	111	6438	1.72%	ACT1, ATG2, BPT1, CDC55, CLN3, GVP36, PIK1, RTS1, SEC18, SFK1, VPS15, YCF1, YPT7
GO:0006869	lipid transport	12	891	1.35%	72	6438	1.12%	DNF1, NCR1, OSH7, PDR11, PDR16, PRY2, PRY3, SFK1, TCB2, TCB3, YHR080C, YNR048W
GO:0032196	transposition	12	891	1.35%	114	6438	1.77%	FUS3, RPC40, STE11, STE5, YBL005W-A, YBL100W-B, YCL074W, YHR214C-B, YLR256W-A, YML040W, YOR142W-A, YOR192C-B
GO:0000902	cell morphogenesis	12	891	1.35%	46	6438	0.71%	BUD14, CIN2, DOP1, GIC1, GIC2, GLC7, GPB1, GPB2, KEL1, KEL2, RHO2, RSP5
GO:0042255	ribosome assembly	12	891	1.35%	80	6438	1.24%	ESF2, LSG1, MAK11, REA1, REX4, RPL25, RPL6B, RPS11A, RPS11B, RPS28B, RSM19, SDO1
GO:0006353	DNA-templated transcription, termination	12	891	1.35%	42	6438	0.65%	BUR2, CFT1, DBP2, GRC3, ISW2, NAB3, NPL3, NRD1, RAT1, SPT6, SUB1, YDR026C
GO:0006457	protein folding	10	891	1.12%	120	6438	1.86%	CIN1, CIN2, CPR8, EMC5, ERO1, GIM3, HSP82, JJJ2, PHO86, RDN25-1
GO:0042594	response to starvation	9	891	1.01%	83	6438	1.29%	AFT1, GCD1, GCN4, MSN2, RIM15, SDS24, SIP2, YAK1, YGR066C
GO:0048308	organelle inheritance	9	891	1.01%	56	6438	0.87%	ACT1, ARP2, MDM36, RTN2, SEC3, SEC8, SWA2, VPS15, YPT7
GO:0045333	cellular respiration	9	891	1.01%	110	6438	1.71%	COR1, COX6, KGD2, MDH1, NCA2, NDI1, YBL021C, YJL045W, YLR256W
GO:0008643	carbohydrate transport	9	891	1.01%	45	6438	0.70%	GAL2, HXT17, HXT2, HXT6, HXT8, MAL31, MPH3, YFL054C, YIL171W
GO:0006865	amino acid transport	9	891	1.01%	55	6438	0.85%	AGP3, ALP1, ATG22, AVT1, AVT6, MMP1, SAM3, UGA4, YMC1
GO:0006486	protein glycosylation	8	891	0.90%	78	6438	1.21%	ALG1, ALG12, KRE5, KTR2, MNS1, PMT1, SEC59, YDR307W
GO:0000054	ribosomal subunit export from nucleus	8	891	0.90%	53	6438	0.82%	ARX1, CRM1, LSG1, NIC96, NUP116, REA1, RLI1, RSP5
GO:0006383	transcription by RNA polymerase III	7	891	0.79%	42	6438	0.65%	PZF1, RPB5, RPC17, RPC40, RPO26, SUB1, YOR207C
GO:0006413	translational initiation	7	891	0.79%	74	6438	1.15%	AEP2, GCD1, GCD6, RDN25-1, RLI1, TIF2, TOR1
GO:0061025	membrane fusion	7	891	0.79%	59	6438	0.92%	SEC18, SEC4, SEC6, SSO1, SSO2, USE1, USO1
GO:0007031	peroxisome organization	7	891	0.79%	52	6438	0.81%	ADR1, DSL1, PEX10, PEX14, PEX6, RTN2, YPR128C
GO:0007114	cell budding	7	891	0.79%	58	6438	0.90%	BNI1, GLC7, HYM1, MYO5, NBA1, PAN1, SLA2
GO:0009311	oligosaccharide metabolic process	7	891	0.79%	30	6438	0.47%	FBP1, IMA1, MAL13, MAL31, MPH3, NTH2, YMR196W
GO:0006766	vitamin metabolic process	7	891	0.79%	57	6438	0.89%	ABZ1, ALD2, BIO3, BUD17, ISA1, SPE3, YPR127W
GO:0043144	snoRNA processing	5	891	0.56%	46	6438	0.71%	NAB3, NRD1, POP1, PXR1, RAT1
GO:0008213	protein alkylation	5	891	0.56%	59	6438	0.92%	BUR2, HSL7, ORC2, SPT6, SWD1
GO:0006418	tRNA aminoacylation for protein translation	4	891	0.45%	37	6438	0.57%	GUS1, MES1, SES1, TYS1
GO:0006414	translational elongation	4	891	0.45%	339	6438	5.27%	DPH1, KTI11, RDN25-1, YOR187W
GO:0006497	protein lipidation	1	891	0.11%	49	6438	0.76%	GPI1
GO:0023052	signaling	1	891	0.11%	2	6438	0.03%	TEM1
